Time,Robot ID,Linear Velocity,Angular Velocity,Linear Acceleration,Distance Traveled
2.02,robot1,0.0,0.0,-0.08246312732379064,0.0
2.02,robot2,0.0,0.0,-0.07095181255748896,0.0
2.02,robot3,0.0,0.0,-0.0757011620047502,0.0
4.02,robot1,0.0,0.0,-0.06062440266948178,0.0
4.02,robot2,0.0,0.0,-0.06099382506394022,0.0
4.02,robot3,0.0,0.0,-0.06337754734914318,0.0
6.02,robot1,0.0,0.0,-0.060812590823791486,0.0
6.02,robot2,0.0,0.0,-0.0610238299143665,0.0
6.02,robot3,0.0,0.0,-0.06071677804328331,0.0
8.02,robot1,0.07927258124971863,5.540058813226684e-07,-0.2078034340577134,0.15854794187540847
8.02,robot2,0.04927257587168694,3.410372721487389e-07,-0.21339480891185056,0.09854687928915652
8.02,robot3,0.0442725837879741,2.6598666449548456e-07,-0.22482893297240067,0.0885467198170084
10.02,robot1,0.10999998489022343,7.116324622534942e-07,-0.060717778073691,0.3785530965051431
10.02,robot2,0.10999998585647629,7.190612916493963e-07,-0.060767268626039865,0.3185520358514424
10.02,robot3,0.10999998270714506,7.186153799845899e-07,-0.060841582653875056,0.30855187008048346
12.02,robot1,0.0470490200534059,0.0003546073444401778,0.3627838570480971,0.47265559116612454
12.02,robot2,0.05723809698988541,4.3916289316973543e-07,0.10964243973142143,0.43303364907699815
12.02,robot3,0.06009998846795757,4.385461589457249e-07,0.07874267648592019,0.42875753722320675
14.02,robot1,0.21106904184302536,0.19792767391046817,-0.02331277858767657,0.8947638913218189
14.02,robot2,0.20846381032533975,-0.20019965328665126,0.2886480555749226,0.8499318538163303
14.02,robot3,0.21896803416237348,0.01413804144087523,0.2945218889615038,0.8666627074065891
16.02,robot1,0.20376346327823303,0.05823210642938449,-0.07823341739813285,1.3023156870052146
16.02,robot2,0.3298271492246434,-0.3744977084386863,0.007022758868816907,1.5096264073393528
16.02,robot3,0.268570635284797,0.009529560336162163,-0.0864783701745314,1.403836756753649
18.02,robot1,0.17105791089036862,-0.17639979594061644,-0.12042624269716022,1.6443804235382697
18.02,robot2,0.31577698919035546,-0.14280581515860946,-0.05791328475837893,2.141086081132681
18.02,robot3,0.2870583149288875,0.010935623820264813,0.07399744137003599,1.9778676586550787
20.02,robot1,0.15839051173009716,0.03814363922486722,-0.04049590865659953,1.9612027612627627
20.02,robot2,0.27832558338680263,-0.0652986464074702,-0.07286012792025047,2.6978098457948056
20.02,robot3,0.38518129713811494,0.02967596774121793,0.0974515172541342,2.7483307228504916
22.02,robot1,0.17143027395006222,0.13618475622476764,-0.07106697136492086,2.304064386602159
22.02,robot2,0.3080695590292615,0.288096321466477,-0.04488307669464827,3.313950900070507
22.02,robot3,0.3840273173493037,0.10445254040340926,-0.20076670178392633,3.5163877711607885
24.02,robot1,0.1616026060677929,0.03109503361041791,-0.07294305257731536,2.6272533857946883
24.02,robot2,0.3014819161648726,0.014827885754822004,-0.12404190805706469,3.9168844859255314
24.02,robot3,0.2874394442218121,-0.12204799747243741,-0.045422112569520015,4.091237821954731
26.02,robot1,0.22736859795463238,0.17036588814079653,-0.052113075801378875,3.081975221363581
